fecha_hecho,cantidad,latitud,longitud,sexo,edad,estado_civil,grupo_actor,actividad_delictiva,parentesco,ocupacion,discapacidad,grupo_especial,medio_transporte,nivel_academico,testigo,conducta,modalidad,caracterizacion,conducta_especial,arma_medio,articulo_penal,categoria_penal,nombre_barrio,codigo_barrio,codigo_comuna,lugar,sede_receptora,bien,categoria_bien,grupo_bien,modelo,color,permiso,unidad_medida,fecha_ingestion
2017-01-11T09:16:00.000-05:00,1.0,6.25452472,-75.56367983,Sin dato,-1,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Caminata,Sin dato,Sin dato,Hurto a entidad financiera,Atraco,Sin dato,Sin dato,Arma de fuego,Sin dato,Sin dato,Villa Nueva,#1018,10,Banco,Candelaria,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato,2024-10-06T04:06:05.000-05:00
2017-01-20T14:24:00.000-05:00,1.0,6.20365701,-75.58574619,Sin dato,-1,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Caminata,Sin dato,Sin dato,Hurto a entidad financiera,Taquillazo,Sin dato,Sin dato,Arma de fuego,Sin dato,Sin dato,Cristo Rey,#1509,15,Almacén tienda y otro,Belén,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato,2024-10-06T04:06:05.000-05:00
2003-01-09T15:00:00.000-05:00,1.0,6.269308,-75.594604,Sin dato,-1,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Hurto a entidad financiera,Atraco,Sin dato,Sin dato,Arma de fuego,Sin dato,Sin dato,Los Colores,#1114,11,Banco,Laureles,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato,2024-10-06T04:06:05.000-05:00
2003-01-09T15:00:00.000-05:00,1.0,6.269308,-75.594604,Sin dato,-1,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Hurto a entidad financiera,Sin dato,Sin dato,Sin dato,Arma de fuego,Sin dato,Sin dato,Los Colores,#1114,11,Banco,Sin dato,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato,2024-10-06T04:06:05.000-05:00
2003-01-29T09:00:00.000-05:00,1.0,6.254313,-75.568083,Sin dato,-1,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Hurto a entidad financiera,Atraco,Sin dato,Sin dato,Arma de fuego,Sin dato,Sin dato,Estación Villa,#1005,10,Banco,Candelaria,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato,2024-10-06T04:06:05.000-05:00
2003-01-29T09:00:00.000-05:00,1.0,6.254313,-75.568083,Sin dato,-1,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Hurto a entidad financiera,Sin dato,Sin dato,Sin dato,Arma de fuego,Sin dato,Sin dato,Estación Villa,#1005,10,Banco,Sin dato,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato,2024-10-06T04:06:05.000-05:00
2003-02-21T13:30:00.000-05:00,1.0,6.249299,-75.568965,Sin dato,-1,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Hurto a entidad financiera,Atraco,Sin dato,Sin dato,Arma de fuego,Sin dato,Sin dato,La Candelaria,#1019,10,Banco,Candelaria,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato,2024-10-06T04:06:05.000-05:00
2003-02-21T13:30:00.000-05:00,1.0,6.249299,-75.568965,Sin dato,-1,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Hurto a entidad financiera,Sin dato,Sin dato,Sin dato,Arma de fuego,Sin dato,Sin dato,La Candelaria,#1019,10,Banco,Sin dato,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato,2024-10-06T04:06:05.000-05:00
2003-03-13T10:15:00.000-05:00,1.0,NaN,NaN,Sin dato,-1,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Hurto a entidad financiera,Atraco,Sin dato,Sin dato,Arma de fuego,Sin dato,Sin dato,La Florida,#1417,14,Banco,Poblado,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato,2024-10-06T04:06:05.000-05:00
2003-03-13T10:15:00.000-05:00,1.0,NaN,NaN,Sin dato,-1,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Hurto a entidad financiera,Sin dato,Sin dato,Sin dato,Arma de fuego,Sin dato,Sin dato,La Florida,#1417,14,Banco,Sin dato,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato,2024-10-06T04:06:05.000-05:00
2003-03-15T08:00:00.000-05:00,1.0,6.250276,-75.566692,Sin dato,-1,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Hurto a entidad financiera,Atraco,Sin dato,Sin dato,Arma de fuego,Sin dato,Sin dato,La Candelaria,#1019,10,Banco,Candelaria,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato,2024-10-06T04:06:05.000-05:00
2003-03-15T08:00:00.000-05:00,1.0,6.250276,-75.566692,Sin dato,-1,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Hurto a entidad financiera,Sin dato,Sin dato,Sin dato,Arma de fuego,Sin dato,Sin dato,La Candelaria,#1019,10,Banco,Sin dato,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato,2024-10-06T04:06:05.000-05:00
2003-03-20T15:20:00.000-05:00,1.0,6.249846,-75.565569,Sin dato,-1,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Hurto a entidad financiera,Miedo o terror,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,La Candelaria,#1019,10,Banco,Candelaria,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato,2024-10-06T04:06:05.000-05:00
2003-03-20T15:20:00.000-05:00,1.0,6.249846,-75.565569,Sin dato,-1,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Hurto a entidad financiera,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,La Candelaria,#1019,10,Banco,Sin dato,Peso,"Dinero, joyas, piedras preciosas y título valor",Mercancía,-1,Sin dato,Sin dato,Sin dato,2024-10-06T04:06:05.000-05:00
2003-03-24T04:30:00.000-05:00,1.0,6.231738,-75.580096,Sin dato,-1,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Hurto a entidad financiera,Halado,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Tenche,#1502,15,Banco,Belén,Sin dato tecnología,Tecnología,Mercancía,-1,Sin dato,Sin dato,Sin dato,2024-10-06T04:06:05.000-05:00
